Area,MTU,Fossil Gas  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|SE3,04.01.2022 04:00 - 04.01.2022 05:00 (CET/CEST),0,878,6502,890,0,2113
BZN|SE3,04.01.2022 05:00 - 04.01.2022 06:00 (CET/CEST),0,906,6596,959,0,2080
BZN|SE3,04.01.2022 06:00 - 04.01.2022 07:00 (CET/CEST),0,1079,6724,1039,0,1998
BZN|SE3,04.01.2022 07:00 - 04.01.2022 08:00 (CET/CEST),0,1293,6809,1109,0,1960
BZN|SE3,04.01.2022 08:00 - 04.01.2022 09:00 (CET/CEST),0,1415,6852,1137,0,1953
BZN|SE3,04.01.2022 09:00 - 04.01.2022 10:00 (CET/CEST),0,1430,6923,1143,2,1894
BZN|SE3,04.01.2022 10:00 - 04.01.2022 11:00 (CET/CEST),0,1355,6944,1160,7,1827
BZN|SE3,04.01.2022 11:00 - 04.01.2022 12:00 (CET/CEST),0,1355,6949,1166,13,1813
BZN|SE3,04.01.2022 12:00 - 04.01.2022 13:00 (CET/CEST),0,1347,6960,1165,12,1718
BZN|SE3,04.01.2022 13:00 - 04.01.2022 14:00 (CET/CEST),0,1347,6970,1162,8,1653
BZN|SE3,04.01.2022 14:00 - 04.01.2022 15:00 (CET/CEST),0,1421,6973,1178,2,1640
BZN|SE3,04.01.2022 15:00 - 04.01.2022 16:00 (CET/CEST),0,1422,6974,1172,0,1582
BZN|SE3,04.01.2022 16:00 - 04.01.2022 17:00 (CET/CEST),0,1422,6972,1186,0,1510
BZN|SE3,04.01.2022 17:00 - 04.01.2022 18:00 (CET/CEST),0,1421,6972,1191,0,1434
BZN|SE3,04.01.2022 18:00 - 04.01.2022 19:00 (CET/CEST),0,1414,6972,1187,0,1304
BZN|SE3,04.01.2022 19:00 - 04.01.2022 20:00 (CET/CEST),0,1432,6971,1191,0,1182
BZN|SE3,04.01.2022 20:00 - 04.01.2022 21:00 (CET/CEST),0,1353,6972,1185,0,1100
BZN|SE3,04.01.2022 21:00 - 04.01.2022 22:00 (CET/CEST),0,1218,6974,1147,0,1037
BZN|SE3,04.01.2022 22:00 - 04.01.2022 23:00 (CET/CEST),0,1114,6974,1146,0,975
BZN|SE3,04.01.2022 23:00 - 05.01.2022 00:00 (CET/CEST),0,903,6974,1140,0,930
BZN|SE3,05.01.2022 00:00 - 05.01.2022 01:00 (CET/CEST),0,862,6975,1056,0,865
BZN|SE3,05.01.2022 01:00 - 05.01.2022 02:00 (CET/CEST),0,808,6976,964,0,794
BZN|SE3,05.01.2022 02:00 - 05.01.2022 03:00 (CET/CEST),0,798,6973,899,0,733
BZN|SE3,05.01.2022 03:00 - 05.01.2022 04:00 (CET/CEST),0,787,6972,895,0,665
BZN|SE3,05.01.2022 04:00 - 05.01.2022 05:00 (CET/CEST),0,753,6974,950,0,617
BZN|SE3,05.01.2022 05:00 - 05.01.2022 06:00 (CET/CEST),0,798,6973,1030,0,594
BZN|SE3,05.01.2022 06:00 - 05.01.2022 07:00 (CET/CEST),0,831,6975,1084,0,574
BZN|SE3,05.01.2022 07:00 - 05.01.2022 08:00 (CET/CEST),0,1041,6976,1131,0,564
BZN|SE3,05.01.2022 08:00 - 05.01.2022 09:00 (CET/CEST),0,1213,6976,1153,0,579
BZN|SE3,05.01.2022 09:00 - 05.01.2022 10:00 (CET/CEST),0,1251,6975,1151,1,615
BZN|SE3,05.01.2022 10:00 - 05.01.2022 11:00 (CET/CEST),0,1284,6982,1155,2,655
BZN|SE3,05.01.2022 11:00 - 05.01.2022 12:00 (CET/CEST),0,1296,6977,1163,5,718
BZN|SE3,05.01.2022 12:00 - 05.01.2022 13:00 (CET/CEST),0,1358,6977,1149,5,811
BZN|SE3,05.01.2022 13:00 - 05.01.2022 14:00 (CET/CEST),0,1359,6977,1147,3,949
BZN|SE3,05.01.2022 14:00 - 05.01.2022 15:00 (CET/CEST),0,1354,6977,1154,1,1063
BZN|SE3,05.01.2022 15:00 - 05.01.2022 16:00 (CET/CEST),0,1342,6976,1103,0,1248
BZN|SE3,05.01.2022 16:00 - 05.01.2022 17:00 (CET/CEST),0,1367,6976,1165,0,1380
